ID,Course_Name,X2018_Overall_Scale,X2019_Overall_Scale,CVA
3,4,2291,2283,10
3,4,2509,2538,10
3,4,2337,2408,10
3,4,2530,2547,10
3,4,2489,2547,10
3,4,2322,2393,10
3,4,2410,2451,10
3,4,2543,2604,10
3,4,2453,2510,10
3,4,2481,2535,10
3,4,2426,2500,10
3,4,2508,2554,10
3,4,2444,2548,10
3,4,2483,2520,10
3,4,2618,2615,10
3,4,2468,2560,10
3,4,2458,2512,10
3,4,2426,2473,10
3,4,2479,2520,10
3,4,2480,2468,10
3,4,2601,2602,10
3,4,2413,2385,10
3,4,2553,2659,10
3,4,2463,2450,10
3,4,2492,2551,10
3,4,2486,2589,10
3,4,2441,2525,10
3,4,2456,2433,10
3,4,2534,2560,10
3,4,2551,2595,10
4,4,2412,2459,16
4,4,2510,2592,16
4,4,2429,2514,16
4,4,2479,2558,16
4,4,2503,2524,16
4,4,2435,2584,16
4,4,2432,2468,16
4,4,2463,2505,16
4,4,2482,2571,16
4,4,2593,2626,16
4,4,2492,2528,16
4,4,2478,2557,16
4,4,2509,2598,16
4,4,2455,2535,16
4,4,2521,2515,16
4,4,2413,2523,16
4,4,2562,2620,16
4,4,2467,2535,16
4,4,2443,2535,16
4,4,2536,2606,16
4,4,2416,2508,16
4,4,2496,2561,16
4,4,2486,2609,16
4,4,2458,2563,16
4,4,2482,2535,16
4,4,2510,2539,16
4,4,2603,2613,16
4,4,2472,2523,16
4,4,2346,2454,16
4,4,2573,2601,16
4,4,2506,2564,16
9,4,2379,2365,9
9,4,2312,2385,9
9,4,2420,2443,9
9,4,2379,2426,9
9,4,2371,2354,9
9,4,2306,2320,9
9,4,2443,2447,9
9,4,2460,2442,9
9,4,2480,2497,9
9,4,2471,2464,9
9,4,2432,2487,9
9,4,2370,2373,9
9,4,2387,2447,9
9,4,2428,2460,9
9,4,2408,2384,9
9,4,2398,2389,9
9,4,2451,2483,9
9,4,2392,2428,9
9,4,2454,2484,9
9,4,2454,2469,9
9,4,2477,2449,9
9,4,2421,2440,9
9,4,2442,2513,9
9,4,2454,2459,9
9,4,2448,2452,9
9,4,2406,2445,9
10,4,2621,2656,6
10,4,2414,2532,6
10,4,2506,2481,6
10,4,2424,2503,6
10,4,2466,2486,6
10,4,2478,2505,6
10,4,2419,2442,6
10,4,2469,2440,6
10,4,2405,2559,6
10,4,2342,2333,6
